,surfaceome_genes
1414,LRRTM4
1415,LRRTM3
1416,C1QL4
1417,TPH2
1418,NLGN4X
1419,NLGN1
1420,LRRC52
1421,ATP11C
1422,SLC17A8
1423,NLGN4Y
1424,NLGN2
1425,IL31RA
1426,VANGL1
1427,KCNG3
1428,LHFPL5
1429,KCNG4
1430,KCNV2
1431,PKD1L1
1432,ATP8B4
1433,APH1B
1434,NCSTN
1435,LPAR1
1436,GHSR
1437,KCNB2
1438,MR1
1439,KISS1R
1440,TMIGD2
1441,APH1A
1442,RTP4
1443,SLC10A4
1444,DCHS1
1445,KCNS1
1446,LRFN5
1447,QRFPR
1448,ADGRA2
1449,SLITRK1
1450,PCDH15
1451,PANX1
1452,F2RL3
1453,TAAR1
1454,GAD1
1455,CD180
1456,P2RX7
1457,SLC29A1
1458,KCNS3
1459,CLSTN3
1460,UPK3B
1461,LRFN3
1462,SLC12A9
1463,SLC29A3
1464,RTN4R
1465,NPFFR1
1466,SLC5A7
1467,SLITRK2
1468,ABCG8
1469,ABCG5
1470,CLSTN2
1471,SLC32A1
1472,SLITRK6
1473,VSIR
1474,ADGRL3
1475,LPAR2
1476,LRRC4C
1477,NRXN3
1478,TREM1
1479,DUOX1
1480,KCNIP2
1481,SLC6A13
1482,TENM2
1483,LRRC4B
1484,ATP8A2
1485,TMEM30A
1486,CELSR3
1487,PSENEN
1488,NLGN3
1489,KCNIP1
1490,IL1RAPL1
1491,FLRT3
1492,FLRT1
1493,KCND2
1494,PKD2L1
1495,TENM3
1496,SLC17A7
1497,SLC17A6
1498,GABBR1
1499,LPAR3
1500,CNTNAP2
1501,SLC7A8
1502,GLS2
1503,KCNG1
1504,KCNG2
1505,KCND3
1506,TENM1
1507,LRFN2
1508,VANGL2
1509,KCNS2
1510,HHLA2
1511,GABRQ
1512,SSR3
1513,CNTN6
1514,ATP8A1
1515,KCNIP3
1516,SLC6A5
1517,NPFFR2
1518,SCN10A
1519,ADGRG1
1520,KCNE3
1521,GJA3
1522,GRID2
1523,PRNP
1524,IGHM
1525,KIR2DS2
1526,HLADRA
1527,HLA-DRB5
1528,HLA-DRB1
1529,HLA-DQA1
1530,HLA-DQB1
1531,HLA-DQA2
1532,HLA-DQB2
1533,HLA-DOB
1534,HLA-DMB
1535,HLA-DMA
1536,HLA-DOA
1537,HLA-DPA1
1538,HLA-DPB1
1539,HNF4A
1540,HNF4G
1541,NR0B1
1542,NR0B2
1543,NR1D1
1544,NR1D2
1545,NR1I3
1546,NR2C1
1547,NR2C2
1548,NR2E1
1549,NR2E3
1550,NR2F1
1551,NR2F2
1552,NR2F6
1553,NR4A1
1554,NR4A2
1555,NR4A3
1556,NR5A1
1557,NR5A2
1558,NR6A1
1559,TLR7
1560,MME
1561,CD101
1562,ENG
1563,LAMP1
1564,LAMP2
1565,CD109
1566,PVRL1
1567,PVRL2
1568,PVRL3
1569,ANPEP
1570,PROM1
1571,CD14
1572,F3
1573,ACE
1574,PTPRJ
1575,SLAMF1
1576,ADAM8
1577,ADAM17
1578,ADAM10
1579,KIR2DS1
1580,CD163
1581,CD164
1582,FCGR3B
1583,SIGLEC5
1584,CD19
1585,MS4A1
1586,ENPP3
1587,LY75
1588,LAMP3
1589,MFI2
1590,LY9
1591,BCAM
1592,ABCB1
1593,MRC2
1594,TLR1
1595,TLR2
1596,TLR3
1597,TLR4
1598,TLR9
1599,GPR44
1600,ATP1B3
1601,CD302
1602,FCRL5
1603,EMR2
1604,SLAMF7
1605,FCGR2A
1606,EPCAM
1607,SIGLEC6
1608,SIGLEC7
1609,CR1
1610,CD3D
1611,GP5
1612,CD5
1613,CD59
1614,CD63
1615,CD68
1616,CD7
1617,CD83
1618,CD84
1619,LILRA5
1620,LILRA1
1621,LRP1
1622,SLC44A1
1623,CD97
1624,VNN1
1625,KRT1
1626,ALPL
1627,ALPP
1628,ENO1
1629,PRF1
1630,VDAC1
1631,ACHE
1632,CDH13
1633,FAP
1634,HYAL2
1635,MSLN
1636,OPCML
1637,MDGA1
1638,NTM
1639,NTNG1
1640,RAB5C
1641,PLA2G3
1642,GPC5
1643,CAPNS1
1644,ITPRIP
1645,FKRP
1646,DYNC2H1
1647,BCHE
1648,PRG2
1649,IGLON5
1650,LAMA5
1651,CALU
1652,CRTAP
1653,PRSS23
1654,CP
1655,HP
1656,IGHG1
1657,IGHG2
1658,APOH
1659,AHSG
1660,HPX
1661,APOD
1662,SERPING1
1663,GPI
1664,SERPINE2
1665,DCN
1666,LAMB1
1667,CFH
1668,CHGA
1669,ACTN1
1670,IFI30
1671,C4BPB
1672,BGN
1673,LAMA1
1674,PON1
1675,CALR
1676,LOX
1677,GRN
1678,FBN2
1679,BTD
1680,NPTX2
1681,LUM
1682,PRELP
1683,MFAP4
1684,LAMB2
1685,YBX1
1686,HSPG2
1687,LGALS3BP
1688,MFGE8
1689,ST3GAL1
1690,ST3GAL4
1691,FSTL1
1692,MMRN1
1693,MFAP5
1694,LAMB3
1695,LAMC2
1696,NID2
1697,LTBP1
1698,LAMA4
1699,LEPRE1
1700,OLFML2B
1701,PLBD1
1702,C6orf120
1703,ABI3BP
1704,SMPDL3B
1705,PXDN
1706,NELL1
1707,HMCN1
1708,SERPINI1
1709,EMILIN2
1710,MXRA5
1711,OLFML3
1712,MAN2B2
1713,LIPG
1714,EMILIN1
1715,TLL2
1716,GDF15
1717,C4BPA
1718,MMP13
1719,SERPINA3
1720,ITIH2
1721,VCAN
1722,TFPI
1723,EMID2
1724,PGCP
1725,SERPINB2
1726,TFPI2
1727,PRSS35
1728,ISLR
1729,TNXB
1730,THSD4
1731,LTBP3
1732,ANGPTL1
1733,NTN3
1734,CREG1
1735,NXPH4
1736,CRELD2
1737,TLL1
1738,TIMP1
1739,LOXL4
1740,ANGPTL4
1741,SLIT3
1742,SERPINF1
1743,OLFML2A
1744,GREM1
1745,PLTP
1746,POSTN
1747,CCDC80
1748,F13A1
1749,SERPINA1
1750,OGN
1751,ADAMTSL4
1752,ASPN
1753,COL29A1
1754,IGHG4
1755,GNPTG
1756,EPDR1
1757,ANGPTL2
1758,DKK3
1759,CPZ
1760,AMBP
1761,C12orf49
1762,CYTH1
1763,CDSN
1764,BCAN
1765,ORM1
1766,FBLN2
1767,AEBP1
1768,A2M
1769,CGN
1770,ADAMTS15
1771,IL17D
1772,CCDC126
1773,LTF
1774,PLAT
1775,F5
1776,C1QTNF2
1777,EFEMP1
1778,BMP1
1779,HNRNPK
1780,OLFM1
1781,DPP7
1782,CTSD
1783,ABCC1
1784,CASD1
1785,SLC12A6
1786,SLC9A1
1787,SLC2A1
1788,SLCO4A1
1789,SLC23A2
1790,SLCO3A1
1791,SLC26A5
1792,SLC38A1
1793,SLC4A7
1794,SLC14A1
1795,TMCO3
1796,SPPL2A
1797,TM9SF3
1798,ANO9
1799,ATP1A1
1800,ATP1A3
1801,ANO6
1802,ATP6V0A2
1803,P2RY10
1804,LPHN2
1805,PTAFR
1806,GPR107
1807,GPR126
1808,P2RY8
1809,GPR125
1810,TMEM87A
1811,MRGPRF
1812,TMEM87B
1813,SMO
1814,EMR3
1815,ELTD1
1816,TMEM8A
1817,CELSR2
1818,CELSR1
1819,GPR56
1820,PPAP2A
1821,KCNA3
1822,SLC39A6
1823,SLC39A14
1824,P2RY11
1825,SLC39A10
1826,PROM2
1827,TTYH2
1828,TTYH3
1829,GPM6B
1830,CNNM4
1831,CNNM3
1832,DCBLD2
1833,KIAA0922
1834,ATRN
1835,PTPRG
1836,TMEFF1
1837,TM2D3
1838,TM2D1
1839,HEPACAM2
1840,BTN3A3
1841,PCDH17
1842,NCAM2
1843,CA12
1844,PCDHGA12
1845,IGSF3
1846,CPD
1847,NFASC
1848,CSPG5
1849,LYPD3
1850,VNN2
1851,G6B
1852,LDLR
1853,HLA-DRA
1854,TACSTD2
1855,ELFN1
1856,HLA-DRB4
1857,ATP1B2
1858,FOLR1
1859,ENPP1
1860,PTPRB
1861,MPZ
1862,PTPRM
1863,GPC1
1864,ECE1
1865,APLP1
1866,CACNA2D1
1867,MFAP3
1868,CDH15
1869,NOMO3
1870,CXADR
1871,HLA-DRB3
1872,CDH17
1873,PTK7
1874,ADAM15
1875,LSAMP
1876,STIM1
1877,TPBG
1878,LRRC32
1879,FAT1
1880,GPNMB
1881,PTPRK
1882,FAM174B
1883,SDK2
1884,CRB2
1885,ELFN2
1886,FREM2
1887,0
1888,FCRL6
1889,TMEM132E
1890,EMB
1891,APR3
1892,SUSD1
1893,VSTM1
1894,SEZ6L2
1895,QSOX2
1896,BTN2A1
1897,SDK1
1898,MCA32
1899,AMIGO2
1900,CLEC14A
1901,FRAS1
1902,AMICA1
1903,FGFRL1
1904,PCDH20
1905,RNF149
1906,DNER
1907,IGDCC4
1908,SCARB1
1909,MUC16
1910,NEO1
1911,SCARF2
1912,C1orf159
1913,KIRREL
1914,FCRL2
1915,SGCZ
1916,FCRL3
1917,SORCS2
1918,SIGLEC12
1919,MUC4
1920,MXRA8
1921,PLVAP
1922,CDH19
1923,TMX4
1924,TMPRSS5
1925,ACAM
1926,ANTXR1
1927,C10orf54
1928,PCDH9
1929,PCDH18
1930,ODZ2
1931,STAB1
1932,CLEC5A
1933,CACNA2D2
1934,ADAM22
1935,CNTN3
1936,C1orf9
1937,LNPEP
1938,PTPRQ
1939,PCDHGC3
1940,CLCA2
1941,SIGLEC9
1942,PCDHGB7
1943,NPTN
1944,CDH10
1945,ENPP4
1946,GPR64
1947,GPR65
1948,S1PR3
1949,NPR2
1950,ICAM5
1951,CLEC12A
1952,FAM171A1
1953,SLCO2A1
1954,UNQ870/PRO1886
1955,DGCR2
1956,LRRN1
1957,OSTM1
1958,PCDHA6
1959,PPAP2B
1960,ADAM9
1961,RECK
1962,KIAA0644
1963,FAT3
1964,BVES
1965,CDH4
1966,LRRC25
1967,LRP10
1968,PCDHGB4
1969,PCDHGB5
1970,PCDHGB1
1971,SUSD5
1972,SLC24A6
1973,UGT8
1974,MEGF8
1975,IL17RD
1976,FAM174A
1977,PMEPA1
1978,NEU1
1979,ADAM19
1980,CRIM1
1981,PCDHGC5
1982,PCDHGA9
1983,MCOLN1
1984,SGCB
1985,SGCD
1986,PCDH1
1987,KIAA0090
1988,LRRN4CL
1989,CDH8
1990,GPR110
1991,ZP4
1992,C10orf72
1993,THSD7A
1994,PCDHA10
1995,SLC46A1
1996,S1PR4
1997,LRP2
1998,GPC4
1999,SORCS1
2000,FAM171A2
2001,CXCR7
2002,GPR116
2003,STEAP4
2004,LRP1B
2005,SLCO4C1
2006,ACCN2
2007,CACHD1
2008,PCDH19
2009,TCTN2
2010,ABCA8
2011,FCGR2B
2012,SIDT2
2013,SUCNR1
2014,CNNM2
2015,PCDH7
2016,MPZL2
2017,EVI2A
2018,AMIGO1
2019,TMEM25
2020,ZDHHC5
2021,SLC22A16
2022,VAMP5
2023,LRP12
2024,NAGLT1
2025,SLC8A1
2026,KIAA1324L
2027,SEMA4F
2028,LY6K
2029,GPRC5A
2030,LPAR5
2031,GPR132
2032,C11orf24
2033,S1PR5
2034,FCGR1C
2035,SGCE
2036,SCN2B
2037,PLA2R1
2038,LRFN1
2039,CDH9
2040,MFAP3L
2041,GPR124
2042,SCN4B
2043,SLC12A7
2044,TRPV2
2045,GRID1
2046,PCDHGA8
2047,S1PR1
2048,DCBLD1
2049,PKHD1L1
2050,PARM1
2051,NPR3
2052,CDH11
2053,APCDD1
2054,MYOF
2055,ODZ1
2056,CADM2
2057,GPR174
2058,LRP11
2059,TXNDC15
2060,RELL1
2061,RNF130
2062,ABCA7
2063,GPR176
2064,CLDN12
2065,PCDHA11
2066,FAM38A
2067,NPC1
2068,SV2A
2069,SPPL2B
2070,RHBDF2
2071,IGSF1
2072,RPN2
2073,TMED9
2074,ATP6AP1
2075,C1orf85
2076,TMX3
2077,THSD1
2078,SEL1L
2079,TMED7
2080,RNF13
2081,ACP2
2082,CANX
2083,GALNT1
2084,LMAN2
2085,FGL2
2086,MOXD1
2087,TMED4
2088,NUP210
2089,PIGT
2090,LMAN2L
2091,EXTL2
2092,HEG1
2093,SILV
2094,RPN1
2095,UGT1A9
2096,STS
2097,FNDC5
2098,ITM2B
2099,PTTG1IP
2100,TM9SF1
2101,MIA3
2102,ARSF
2103,HEPACAM
2104,PLXDC1
2105,ITFG1
2106,TMEM9
2107,SLC2A4
2108,BACE1
2109,NAGPA
2110,ANO5
2111,QSOX1
2112,NCLN
2113,DMXL2
2114,MMGT1
2115,SLC12A8
2116,ESYT3
2117,SLC5A10
2118,CLRN2
2119,TMEM30C
2120,SLC22A23
2121,TSPAN11
2122,TMEM213
2123,OR2M5
2124,OR2A25
2125,SLC35F4
2126,MEGF11
2127,CDHR4
2128,TMEM150B
2129,OR6C74
2130,IZUMO1R
2131,OR14I1
2132,LRIT2
2133,OR5H15
2134,OR6C68
2135,MYADML2
2136,TMEM8B
2137,OR5K3
2138,ANTXRL
2139,OR6C6
2140,TRABD2B
2141,TMEM235
2142,MFSD2B
2143,GGT3P
2144,OR51F1
2145,OR2T8
2146,SERINC4
2147,OR4C46
2148,OR5H14
2149,MANSC4
2150,OR6C70
2151,SLC15A5
2152,CD8BP
2153,OR6C65
2154,SLC22A20
2155,PCNXL2
2156,OR5H1
2157,OR6C75
2158,OR5B21
2159,SHISA7
2160,OR2AG2
2161,LRRC37A2
2162,CLDN24
2163,OR6C76
2164,SIGLEC16
2165,OR5K4
2166,LRRC37A
2167,OR52A4
2168,OR4C45
2169,OR2AT4
2170,SLC38A8
2171,DISP2
2172,GABRR3
2173,
2174,HIDE1
2175,BTNL10
2176,VSTM5
2177,UPK3BL
2178,OR11H12
2179,TMEM114
2180,SHISA9
2181,TARM1
2182,ERVV-1
2183,ERVV-2
2184,SHISA8
2185,MUC22
2186,C1orf233
2187,C3orf80
2188,SLCO1B7
2189,TMEM178B
2190,GFY
2191,GPR25
2192,GPR31
2193,UPK1A
2194,SLC28A1
2195,SLC33A1
2196,UPK2
2197,GABRP
2198,CLDN4
2199,BAI1
2200,PTPRT
2201,TMEM194A
2202,ASTN1
2203,OR7A17
2204,GPR171
2205,RRH
2206,TAAR5
2207,TSPAN4
2208,FFAR1
2209,FFAR3
2210,TM4SF5
2211,LDLRAD4
2212,GPR182
2213,SLC22A2
2214,SLC22A1
2215,SLC16A4
2216,SLC16A5
2217,SLC16A6
2218,SLC31A1
2219,ABCC3
2220,ABCC4
2221,ABCC5
2222,GPR42
2223,P2RX6
2224,CLDN3
2225,FFAR2
2226,ERVK-18
2227,SLC7A4
2228,TREH
2229,SPINT2
2230,ADCY6
2231,AQP9
2232,TGOLN2
2233,CACNA1G
2234,ADAM20
2235,SLC26A4
2236,PSCA
2237,TSPAN6
2238,PPAP2C
2239,OR1F1
2240,SLC37A4
2241,SLC28A2
2242,OR2T1
2243,XPNPEP2
2244,MFSD11
2245,TMPRSS11D
2246,BAI2
2247,BAI3
2248,ADCY3
2249,LRRC37A3
2250,CACNG3
2251,GRIN3B
2252,OR10H2
2253,OR10H3
2254,OR7C2
2255,OR1I1
2256,GPR137B
2257,NPHS1
2258,ADCY9
2259,TLR5
2260,TSPAN1
2261,TSPAN2
2262,TSPAN3
2263,SLC16A7
2264,ABCC9
2265,SLC19A2
2266,CTNS
2267,ERVK-19
2268,LRP3
2269,ADAM23
2270,ADAM11
2271,ASTN2
2272,CDH16
2273,GLRA3
2274,LRRN2
2275,ENTPD3
2276,SLC43A1
2277,GPR32
2278,TECTA
2279,USH2A
2280,CLDN11
2281,GJB3
2282,SLC22A3
2283,TSPAN9
2284,OR2B3
2285,OR2J3
2286,OR2J2
2287,SLC22A5
2288,OR7C1
2289,OR7A10
2290,LY6H
2291,AQP8
2292,CNTN5
2293,TMEM63A
2294,LRIG2
2295,LPHN1
2296,SLCO2B1
2297,OR2F2
2298,OR6B1
2299,OR4F21
2300,OR2A4
2301,PCDH8
2302,OR5F1
2303,OR6A2
2304,KCNK5
2305,ABCB11
2306,OR2C1
2307,GJB5
2308,SLC34A2
2309,GJB6
2310,CLDN7
2311,CLDN9
2312,SLC2A10
2313,ADCY5
2314,CLDN1
2315,TSPAN13
2316,TSPAN15
2317,LY6G6C
2318,LY6G6D
2319,OR2H2
2320,IGSF6
2321,HLA-H
2322,GYPA
2323,SLC4A1
2324,TRGC2
2325,OPN1SW
2326,OPN1LW
2327,OPN1MW
2328,MAS1
2329,GYPC
2330,LPL
2331,ASGR1
2332,ASGR2
2333,UMOD
2334,GJB1
2335,RHO
2336,SYP
2337,ROS1
2338,PKHD1
2339,SLC10A3
2340,LCT
2341,ALPI
2342,FURIN
2343,OR4A8P
2344,OR5AL1
2345,OR4Q2
2346,OR5G3
2347,OR5AC1
2348,OR10J4
2349,OR4E1
2350,OR52Z1
2351,LINGO3
2352,OR8U8
2353,OR8U9
2354,OR9G9
2355,OR2T7
2356,OR56A5
2357,ZDHHC11B
2358,TPBGL
2359,ALPPL2
2360,CD37
2361,SLC2A2
2362,SLC2A3
2363,SLC5A1
2364,FOLR2
2365,INSRR
2366,CD1E
2367,MUC1
2368,GABRB1
2369,PAM
2370,TSPAN8
2371,CD53
2372,MAG
2373,ABCB4
2374,ZP3
2375,MSR1
2376,SLC2A5
2377,CA4
2378,KEL
2379,OMG
2380,ATP2B4
2381,PRPH2
2382,GABRR1
2383,GUCY2C
2384,CD82
2385,GABRR2
2386,GJB2
2387,LTK
2388,AQP1
2389,MIP
2390,TM4SF1
2391,SLC7A1
2392,OR1E1
2393,OR10J1
2394,SLC5A2
2395,FCGR2C
2396,BRS3
2397,GPR183
2398,DSG3
2399,EVI2B
2400,OR1D2
2401,GJA4
2402,MAS1L
2403,SCN1A
2404,SCN4A
2405,SPAM1
2406,CEACAM3
2407,SLC26A3
2408,PMEL
2409,CASR
2410,AQP2
2411,P2RY2
2412,SLC19A1
2413,TSPAN7
2414,DPP6
2415,SLC1A4
2416,KIR2DL2
2417,LPAR6
2418,SLC15A1
2419,GPR3
2420,GPR4
2421,GPR6
2422,SLCO1A2
2423,GPR12
2424,RGR
2425,OR3A1
2426,OR3A4P
2427,OR1D4
2428,OR1E2
2429,OR3A3
2430,OR1G1
2431,OR3A2
2432,P2RY1
2433,KCNJ4
2434,GLIPR1
2435,TM4SF4
2436,CD151
2437,KCNJ3
2438,SLC9A3
2439,HCAR3
2440,SLC11A1
2441,SLC11A2
2442,MMP14
2443,SLC26A2
2444,ATP1A2
2445,ATP4B
2446,MMP16
2447,P2RX1
2448,P2RY4
2449,CLCNKB
2450,ADCY7
2451,SLC7A2
2452,ART1
2453,SLC5A3
2454,EMP1
2455,EMP2
2456,EMP3
2457,SLC12A2
2458,SLC12A3
2459,AQP5
2460,F2RL1
2461,AQP4
2462,GP2
2463,CDH12
2464,LIM2
2465,P2RX3
2466,CLDN15
2467,CLDN6
2468,CLDN8
2469,CLDN18
2470,CLDN20
2471,SLC37A1
2472,SLC8A3
2473,CLDN2
2474,OR1D5
2475,OR2B6
2476,OR4D2
2477,OR10A3
2478,OR12D2
2479,ANTXR2
2480,CLRN1
2481,EVA1C
2482,TAS2R38
2483,TAS2R39
2484,TAS2R46
2485,TAS2R30
2486,TAS2R19
2487,TAS2R20
2488,OR2B8P
2489,PLP1
2490,ERVFC1
2491,ERVFRD-1
2492,ERVPABLB-1
2493,ZP1
2494,GPR85
2495,ERVS71-1
2496,ERVK-21
2497,ERVK-24
2498,ERVK-7
2499,ERVK-25
2500,TSPAN5
2501,CACNG7
2502,ASIC1
2503,ABCA4
2504,CLDN10
2505,PHEX
2506,FAM189B
2507,SLC7A9
2508,CRB1
2509,TMPRSS15
2510,SCN7A
2511,ATP2B2
2512,RHAG
2513,MUC3A
2514,FOLH1
2515,ZP2
2516,CACNG1
2517,SLC34A1
2518,ENPEP
2519,CD69
2520,SCN1B
2521,SLC3A1
2522,DDR1
2523,SLC20A2
2524,ADCY2
2525,SLC38A11
2526,SIGLEC14
2527,NIPAL4
2528,TMEM62
2529,SCAP
2530,SLC10A2
2531,TSPAN31
2532,BAMBI
2533,SLC13A2
2534,CLN3
2535,BTN1A1
2536,TCIRG1
2537,ART3
2538,SERINC3
2539,GPR50
2540,OR5I1
2541,OR2F1
2542,CDH18
2543,ATP1A4
2544,CACNA1C
2545,CEACAM7
2546,SCARB2
2547,SCARF1
2548,LY6D
2549,EMR1
2550,GPR18
2551,KCNJ12
2552,SCN5A
2553,SSPN
2554,SLC17A1
2555,KIR2DS3
2556,KIR2DS5
2557,SLC10A1
2558,TMEM132D
2559,CLCA4
2560,TMEM132B
2561,P2RY6
2562,AGER
2563,EBP
2564,PTPRR
2565,P2RY14
2566,OR1Q1
2567,OR8G2
2568,OR4D1
2569,OR8G1
2570,OR1C1
2571,OR8B8
2572,OR7A5
2573,GPR68
2574,GPR19
2575,SLC14A2
2576,SCN9A
2577,SLC15A2
2578,GPR162
2579,LY6E
2580,KCNMB1
2581,SYPL1
2582,SGCA
2583,PRSS8
2584,MOG
2585,ATP2B3
2586,MEP1A
2587,MEP1B
2588,PTPRO
2589,PTPRN
2590,AOC3
2591,FAM187B
2592,ECSCR
2593,SLC5A12
2594,CLEC12B
2595,GSG1
2596,MPEG1
2597,ABCB5
2598,SLC5A9
2599,PRTG
2600,SLC4A8
2601,LPPR5
2602,PTCHD3
2603,TMEM95
2604,SLC10A6
2605,CEACAM21
2606,GRAMD1B
2607,DPCR1
2608,KIAA1644
2609,LRIT3
2610,ZACN
2611,SLC36A2
2612,SLC36A3
2613,MMEL1
2614,NRN1L
2615,SV2C
2616,GPR33
2617,NKAIN1
2618,SLC22A6
2619,ATP13A5
2620,SLC39A12
2621,LRRC24
2622,SEZ6
2623,SLC44A4
2624,TM4SF20
2625,SPRN
2626,SLC45A4
2627,UMODL1
2628,IGSF11
2629,PRRT3
2630,XKR3
2631,TMEM67
2632,OR2B11
2633,OR10J3
2634,TMEM255A
2635,SIRPB2
2636,GLRA4
2637,EPHA10
2638,RNFT1
2639,FFAR4
2640,SLC10A5
2641,LY6G6F
2642,MUC21
2643,C1orf101
2644,NCMAP
2645,TMEM63B
2646,ABCC10
2647,GJC2
2648,ZFYVE27
2649,GPRC6A
2650,GPR158
2651,OR2G6
2652,GPR157
2653,LRRC38
2654,VSIG8
2655,NUP210L
2656,KIAA0319
2657,ATRNL1
2658,SUSD4
2659,NKAIN2
2660,MALRD1
2661,IZUMO3
2662,ANO1
2663,MUC17
2664,LMBRD2
2665,RNF43
2666,ERVK-6
2667,SLC6A19
2668,GPR139
2669,TMEM225
2670,TMEM211
2671,OR5M10
2672,OR4C11
2673,OR4F3
2674,OR2T5
2675,OR2T2
