,surfaceome_genes
5172,NINJ2
5173,VIL1
5174,ANXA3
5175,AP3S1
5176,ARHGAP10
5177,ARPIN-AP3S2
5178,ARVCF
5179,CCDC124
5180,PPP3R2
5181,TMEM198
5182,XPR1
5183,CYP2C19
5184,LMTK2
5185,MYO10
5186,ADAP1
5187,ALOX15B
5188,ANKLE2
5189,BTK
5190,CASP4
5191,CMYA5
5192,DBN1
5193,FLCN
5194,GCC1
5195,GNAI2
5196,JAK2
5197,KCNK17
5198,MARK1
5199,MTSS1
5200,MUCL1
5201,NCS1
5202,NEXN
5203,NMT2
5204,PALLD
5205,PTPN5
5206,RASSF3
5207,RIGI
5208,SPG11
5209,TRIP6
5210,CLIC2
5211,COLQ
5212,GNA15
5213,KCNH8
5214,LAT
5215,LHFPL2
5216,MAP3K7
5217,PDE9A
5218,PTPN13
5219,RP2
5220,SH3D21
5221,TRAPPC14
5222,TRPM7
5223,ADAP2
5224,ADD3
5225,AIG1
5226,ALPG
5227,ANKRD13D
5228,ANO4
5229,ANO8
5230,ARF1
5231,ARFGEF2
5232,ARHGEF11
5233,ARHGEF39
5234,ARRDC1
5235,ASTL
5236,BFAR
5237,BMX
5238,CABP7
5239,CALHM5
5240,CALN1
5241,CAPNS2
5242,CARMIL3
5243,CAT
5244,CATIP
5245,CBL
5246,CCDC25
5247,CDC42SE2
5248,CDK5R1
5249,CFAP95
5250,CHP2
5251,CLCN7
5252,CPNE2
5253,CPNE7
5254,CYP2W1
5255,CYP4A11
5256,CYP4F12
5257,CYP4F2
5258,DAPP1
5259,DCUN1D3
5260,DES
5261,DGAT2
5262,DGKB
5263,DLGAP1
5264,EPB41L4A
5265,EPS15
5266,FCHO1
5267,FTCD
5268,FXYD4
5269,FXYD7
5270,FYB1
5271,GNG10
5272,GNG8
5273,GRB14
5274,HARBI1
5275,KCNK4
5276,KSR2
5277,LANCL1
5278,LAT2
5279,LIMS3
5280,LIMS4
5281,LPCAT3
5282,LRRC70
5283,MAST2
5284,MBP
5285,MELK
5286,NEURL1
5287,NOX3
5288,NPY4R2
5289,NRSN2
5290,OR4M2B
5291,PACC1
5292,PHLDA3
5293,PLEK
5294,PLPP4
5295,PLPP5
5296,POTED
5297,PPFIA1
5298,PPP4C
5299,PSD4
5300,PTP4A3
5301,PVRIG
5302,RAB42
5303,RALGPS1
5304,RALGPS2
5305,RAP1B
5306,RASA4B
5307,RASAL3
5308,RASL10A
5309,RASL10B
5310,RASL12
5311,REM2
5312,RGS6
5313,RIN1
5314,RNF24
5315,RPE65
5316,SHANK1
5317,SIRT2
5318,SLA2
5319,SLC16A14
5320,SLC16A9
5321,SLC22A24
5322,SLC25A11
5323,SNTG2
5324,STK32A
5325,SYT13
5326,SYT17
5327,TAS2R42
5328,TBC1D3
5329,TBC1D3D
5330,TBC1D3E
5331,TBC1D3G
5332,TBC1D3H
5333,TBC1D3I
5334,TBC1D3K
5335,TBC1D3L
5336,TLCD3A
5337,TMEM117
5338,TMEM131L
5339,TMEM17
5340,TMEM170B
5341,TMEM176B
5342,TRPC6
5343,TSPAN16
5344,UGT1A1
5345,VCL
5346,VEPH1
5347,VSIG10L2
5348,VXN
5349,WASHC2A
5350,WASHC2C
5351,ZNRF3
5352,CEMIP2
5353,JPT2
5354,KANK1
5355,MAP3K12
5356,RALGAPA2
5357,RASGRP2
5358,SIPA1L1
5359,NSFL1C
5360,PLCD4
5361,PSKH1
5362,SLC4A1AP
5363,TGM1
5364,VPS36
5365,EEF2
5366,PDLIM4
5367,TBC1D10A
5368,ADGRG5
5369,ATXN3
5370,GBP4
5371,GUCA1B
5372,KIAA1614
5373,LPA
5374,PIK3C2B
5375,RAB3GAP2
5376,RCCD1
5377,YIPF1
5378,APBB1
5379,C1orf116
5380,CDAN1
5381,CSDE1
5382,SUMO1
5383,BIN1
5384,CNNM1
5385,NIBAN2
5386,NMRK2
5387,PLD4
5388,PLIN2
5389,TJP3
5390,TMEM240
5391,ASAP1
5392,CROCC
5393,CTTN
5394,FMNL3
5395,GPRIN2
5396,ITPRID2
5397,KCNA6
5398,LYPD6
5399,MADD
5400,MARCHF10
5401,MIF
5402,NAA35
5403,NECAP1
5404,PCYT1A
5405,PPP3CC
5406,RND1
5407,RNF114
5408,RNF146
5409,SELENOK
5410,SLC30A10
5411,STAU2
5412,TREML1
5413,UAP1
5414,UBAC1
5415,UBE2B
5416,AFAP1L2
5417,BLNK
5418,DOCK4
5419,GLUL
5420,GNG2
5421,HSP90AB1
5422,NDRG1
5423,OAS3
5424,PALM2AKAP2
5425,RIC8B
5426,RIT2
5427,RPSA
5428,TCHP
5429,ABHD12
5430,ADGRA1
5431,ADGRF3
5432,ADGRF5
5433,ADTRP
5434,AIF1
5435,AIF1L
5436,ANO10
5437,APBA1
5438,ARF4
5439,ARHGEF2
5440,ARHGEF25
5441,ARHGEF4
5442,ARL13B
5443,ARV1
5444,ASIC3
5445,ATF4
5446,ATF6
5447,ATP9B
5448,B3GNT3
5449,BBS4
5450,BBS5
5451,BBS7
5452,BBS9
5453,BFSP1
5454,C11orf94
5455,CABP1
5456,CACNB1
5457,CACNB3
5458,CAMK1G
5459,CCDC62
5460,CD99L2
5461,CDV3
5462,CFAP65
5463,CFP
5464,CHIC1
5465,CLCA1
5466,CLNS1A
5467,COA6
5468,COL25A1
5469,COMT
5470,COPRS
5471,CORO1A
5472,CPNE6
5473,CYSTM1
5474,DAB2IP
5475,DGKH
5476,DGKK
5477,DGKQ
5478,DIO1
5479,DNM3
5480,DOCK2
5481,DTNA
5482,ENPP7
5483,ENSG00000251357
5484,ENSG00000273554
5485,ENSG00000285130
5486,ENSG00000285218
5487,ENSG00000285880
5488,ENTPD6
5489,EPN1
5490,ERAP2
5491,F8
5492,FMN1
5493,FNBP1
5494,FRK
5495,FRRS1L
5496,GCM1
5497,GFAP
5498,GNA13
5499,GNAI1
5500,GNAT2
5501,GNG11
5502,GNGT1
5503,GRB2
5504,GSDMA
5505,GSK3B
5506,GSN
5507,HAS3
5508,HMCN2
5509,HSP90B1
5510,HSPA9
5511,HYAL3
5512,IGFN1
5513,ILK
5514,INPP5A
5515,IRAK1
5516,IRS2
5517,JTB
5518,KCNAB3
5519,KCNH3
5520,KCNH4
5521,KCNH5
5522,KCNK15
5523,KCNK16
5524,KCNQ2
5525,KCTD7
5526,KIAA0319L
5527,KRT19
5528,LLCFC1
5529,LYZL6
5530,MAEA
5531,MAGEE1
5532,MAP2K2
5533,MARCO
5534,MCF2L
5535,MCFD2
5536,MT3
5537,MTMR6
5538,MTMR9
5539,MYO1D
5540,MYPN
5541,NCKAP1
5542,NECAB2
5543,NECAP2
5544,NF1
5545,NIPA1
5546,NIPA2
5547,NLRP6
5548,OR2A42
5549,OR4F16
5550,OR4F29
5551,OR4M2-OT1
5552,OR51C1P
5553,OR5BS1P
5554,OR5D3P
5555,OR8U3
5556,PDCD10
5557,PDE6G
5558,PDIA6
5559,PHB1
5560,PIGY
5561,PIP4K2B
5562,PIP5KL1
5563,PKP3
5564,PLA2G5
5565,PLCE1
5566,PLEC
5567,PLPPR3
5568,PNISR
5569,PNPLA2
5570,PON2
5571,PPAN-P2RY11
5572,PPIL2
5573,PPP2CA
5574,PRAM1
5575,PRKAR2B
5576,PRKCB
5577,PRKCG
5578,PRKCQ
5579,PRKD2
5580,PTP4A2
5581,RAB24
5582,RAB33A
5583,RAB37
5584,RAB4B
5585,RAC3
5586,RASGRF2
5587,RCC2
5588,RELL2
5589,RGS19
5590,RGS7
5591,RHBDL1
5592,RHOF
5593,RILPL2
5594,RND2
5595,RND3
5596,RXYLT1
5597,S100P
5598,SCFD2
5599,SEPHS1
5600,SERP1
5601,SERPINB10
5602,SGCG
5603,SGK1
5604,SGPP1
5605,SH2D3C
5606,SH3BGRL3
5607,SH3KBP1
5608,SLA
5609,SLC16A13
5610,SLC25A3
5611,SLC27A6
5612,SLC9B1
5613,SMPD1
5614,SMURF2
5615,SNTB1
5616,SNTG1
5617,SNX20
5618,SNX4
5619,SPAG1
5620,SPRED2
5621,SPRY4
5622,SRGAP2
5623,ST6GALNAC6
5624,STEAP1
5625,STK26
5626,SULF1
5627,SYNGAP1
5628,SYT3
5629,SYTL5
5630,TAS2R13
5631,TAS2R31
5632,TAS2R40
5633,TAS2R41
5634,TAS2R5
5635,TAS2R50
5636,TAS2R60
5637,TH
5638,TIRAP
5639,TMEM130
5640,TMEM150C
5641,TMEM98
5642,TMIGD3
5643,TMPRSS4
5644,TNIK
5645,TRAF2
5646,TREML4
5647,TRPM3
5648,TRPM5
5649,TSPAN10
5650,TUSC3
5651,UCHL1
5652,UNC80
5653,VEZT
5654,VSTM2L
5655,WWC1
5656,YRDC
5657,ZC4H2
5658,ARHGEF1
5659,DRP2
5660,FLNB
5661,SPINT1
5662,ZGPAT
5663,PDZD2
5664,PHLDB1
5665,REPS1
5666,SQLE
5667,TUB
5668,ADCY4
5669,ADD1
5670,EHBP1
5671,KCNA7
5672,AKAP12
5673,CKAP5
5674,CPPED1
5675,CREB3
5676,CRYAB
5677,ENO3
5678,HS6ST2
5679,LSR
5680,PIK3AP1
5681,PLIN4
5682,ST8SIA5
5683,STAMBP
5684,UBE2QL1
5685,USP14
5686,YTHDC1
5687,AAMP
5688,CALD1
5689,CAMK2B
5690,CAMK2G
5691,CCDC136
5692,DNAJC9
5693,FASN
5694,MAP2K1
5695,ANXA5
5696,APOM
5697,GRK4
5698,MLIP
5699,NIBAN1
5700,WEE2
5701,APOLD1
5702,CAVIN4
5703,FUT2
5704,HIPK3
5705,IRS1
5706,LRRFIP1
5707,MORF4L2
5708,PARVB
5709,PRRC2A
5710,PTPRCAP
5711,RAPGEF1
5712,RFNG
5713,RIF1
5714,XPO1
5715,AKAP10
5716,ALDH3A1
5717,ARHGAP17
5718,ARHGDIG
5719,BCAR1
5720,BFSP2
5721,BTBD17
5722,CC2D1A
5723,CDC42EP3
5724,DGKG
5725,DIRAS1
5726,DLGAP3
5727,DPYSL2
5728,DUSP15
5729,ENSG00000250424
5730,FAM210B
5731,GRB7
5732,HMOX1
5733,JAK3
5734,KATNB1
5735,KCNT1
5736,KIF14
5737,LIPH
5738,MISP
5739,MRPL42
5740,OBSCN
5741,PIGB
5742,PIK3R6
5743,PIP4K2A
5744,PLCG1
5745,PPIP5K1
5746,PRRG1
5747,PRX
5748,PXK
5749,RASD2
5750,RNF145
5751,SMPD2
5752,SYMPK
5753,TCAF2C
5754,TXNDC11
5755,WDR1
5756,XRN1
5757,ATIC
5758,ATXN10
5759,CSNK1G2
5760,DAAM1
5761,DIO2
5762,FABP5
5763,IGKV3-11
5764,IGKV3-15
5765,IGKV3-20
5766,IGKV3-7
5767,IGKV3D-11
5768,IGKV3D-15
5769,IGKV3D-20
5770,IGKV3D-7
5771,MLKL
5772,MRPL44
5773,MTM1
5774,NCK1
5775,PACS1
5776,PKN1
5777,PLA2G6
5778,PLPPR5
5779,PSTPIP1
5780,RAPH1
5781,S100A9
5782,SHC2
5783,SSH1
5784,TMEM50A
5785,TMTC2
5786,UBQLN2
5787,WAS
5788,WWP1
5789,ABRA
5790,ACSBG1
5791,AMACR
5792,ANKRD20A1
5793,ARL14
5794,ARL17A
5795,ARL17B
5796,ARL4C
5797,ARL4D
5798,ARRDC2
5799,BSN
5800,C15orf62
5801,C1QBP
5802,C1QTNF1
5803,CAP2
5804,CCDC141
5805,CCDC70
5806,CEP295
5807,CLCN1
5808,CLINT1
5809,CNPY4
5810,COQ7
5811,CPAMD8
5812,CPNE5
5813,CPNE8
5814,CTSZ
5815,CUL1
5816,DLGAP2
5817,DLGAP4
5818,DUSP22
5819,EEPD1
5820,EFHD2
5821,ENHO
5822,ENSG00000249967
5823,ENSG00000289694
5824,ENTHD1
5825,EPS15L1
5826,FCMR
5827,FRMD1
5828,FRS2
5829,FTO
5830,G6PD
5831,GAB2
5832,GAK
5833,GJE1
5834,GNG5
5835,GPRIN3
5836,GPSM3
5837,HTRA1
5838,IGLL1
5839,ILDR2
5840,IRAK4
5841,ITIH4
5842,JOSD1
5843,KARS1
5844,KCNA10
5845,LANCL3
5846,LIPI
5847,LRATD2
5848,LZTS1
5849,MAPK10
5850,MGRN1
5851,MPP4
5852,MRAS
5853,MYCBP2
5854,MYLIP
5855,OCEL1
5856,OSBP2
5857,OSGEP
5858,OVCH1
5859,PHLPP1
5860,PIK3CG
5861,PLCG2
5862,PLCH1
5863,PPP1R16A
5864,PPP5C
5865,PPP6R3
5866,PRSS55
5867,RABAC1
5868,RAPGEFL1
5869,RASGRP4
5870,RGS5
5871,RHOBTB2
5872,RHOJ
5873,RNF157
5874,SAMD10
5875,SAMD12
5876,SCP2
5877,SERPINA12
5878,SHANK3
5879,SHC3
5880,SIRPD
5881,SLC13A5
5882,SLC16A11
5883,SLC20A1
5884,SLC23A3
5885,SPRED3
5886,TEC
5887,TMEM161B
5888,TMEM249
5889,TMEM262
5890,TMPRSS2
5891,TPRG1L
5892,TRAK2
5893,TRIP10
5894,TSC1
5895,UNC79
5896,YIPF3
5897,FKBP2
5898,MYO5B
5899,PKP1
5900,PRAME
5901,RASD1
5902,AKTIP
5903,ARHGAP19
5904,COBL
5905,DHRS7B
5906,DOCK1
5907,GABARAPL1
5908,PKN2
5909,SLC35F5
5910,ABHD3
5911,ARHGEF28
5912,CNGB3
5913,LPP
5914,PLEKHH2
5915,RGS14
5916,XPC
5917,CDC42EP4
5918,CEP55
5919,DIRAS3
5920,FHL1
5921,GJD4
5922,HERC2
5923,MRPL58
5924,PPM1A
5925,RAP1GAP2
5926,SERPINC1
5927,SYPL2
5928,TXK
5929,MAPK9
5930,C6
5931,CDC42SE1
5932,EIF2B1
5933,GNAL
5934,KIAA1549
5935,MYO16
5936,PARP14
5937,PTCD3
5938,TGFBI
5939,USH1G
5940,CNOT2
5941,DDX50
5942,F12
5943,RGS9BP
5944,ST8SIA4
5945,XRCC5
5946,APOL1
5947,BCS1L
5948,BLVRB
5949,CDC42EP2
5950,ECEL1
5951,GJA8
5952,IGLV6-57
5953,KCNF1
5954,MELTF
5955,MGAT4C
5956,MICALL2
5957,PLA2G15
5958,SOCS7
5959,TNFAIP8L3
5960,ZDHHC24
5961,ZFYVE28
5962,ARPC2
5963,CBLB
5964,SRPK1
5965,VIM
5966,ABI3
5967,ACP1
5968,ACTG1
5969,ADGRD2
5970,ADI1
5971,AGAP2
5972,AIP
5973,ALG10B
5974,ALKAL1
5975,ALKAL2
5976,AMOTL1
5977,ANKS4B
5978,ANOS1
5979,ANXA8
5980,AOC1
5981,AOC2
5982,ARAP3
5983,ARF3
5984,ARF5
5985,ARG1
5986,ARHGAP35
5987,ARHGAP5
5988,ARHGEF7
5989,ARL4A
5990,ARRDC3
5991,ATXN2
5992,B3GALT2
5993,BEST3
5994,BIN3
5995,BIRC2
5996,BMF
5997,BRCA1
5998,CA2
5999,CABP2
6000,CACNA1F
6001,CAP1
6002,CAPN1
6003,CAPN3
6004,CAPRIN2
6005,CASP1
6006,CATSPERE
6007,CATSPERZ
6008,CBLC
6009,CCDC78
6010,CCNY
6011,CD300H
6012,CD5L
6013,CDC42BPB
6014,CDC42EP5
6015,CDK14
6016,CDK5R2
6017,CERK
6018,CGAS
6019,CIB2
6020,CIT
6021,CLCN2
6022,CLCNKA
6023,CLIC6
6024,CNKSR1
6025,COL23A1
6026,CPLX4
6027,CPNE4
6028,CSNK1G1
6029,CT83
6030,CTNNA2
6031,CTNNAL1
6032,CUL3
6033,DCXR
6034,DDX3X
6035,DENND2B
6036,DGKA
6037,DGKD
6038,DGKE
6039,DGKZ
6040,DIABLO
6041,DIP2A
6042,DIRAS2
6043,DNAJC25-GNG10
6044,DOC2B
6045,DOCK3
6046,DOCK5
6047,DOK7
6048,DSEL
6049,DYNLL2
6050,DYTN
6051,EFNA4-EFNA3
6052,ELMO1
6053,ENPP2
6054,ENSG00000267001
6055,ENSG00000272297
6056,EPRS1
6057,EPS8L1
6058,EPS8L2
6059,EPS8L3
6060,ERAS
6061,ETV6
6062,EWSR1
6063,EXOC6B
6064,F9
6065,FADD
6066,FAM120A
6067,FAM168B
6068,FEZ1
6069,FGFBP1
6070,FMNL1
6071,FRMD6
6072,GAS2L2
6073,GCSAM
6074,GJA10
6075,GJA9
6076,GJD3
6077,GNA14
6078,GNAO1
6079,GNAZ
6080,GNB5
6081,GNG12
6082,GNG13
6083,GNG14
6084,GNG3
6085,GNG4
6086,GNG5B
6087,GNG7
6088,GNGT2
6089,GOT2
6090,GRAP
6091,GRK2
6092,GRK6
6093,GSDMB
6094,GSDMC
6095,GSDMD
6096,GSDME
6097,HMGB1
6098,HMMR
6099,HNRNPF
6100,HOMER1
6101,HOMER2
6102,HPSE2
6103,HRG
6104,HSD17B8
6105,HSPA14
6106,HSPA1A
6107,HSPA2
6108,IFT20
6109,IGHD1-1
6110,IGHJ1
6111,IGKJ1
6112,IGKV1-12
6113,IGKV1-16
6114,IGKV1-17
6115,IGKV1-27
6116,IGKV1-33
6117,IGKV1-37
6118,IGKV1-39
6119,IGKV1-5
6120,IGKV1-6
6121,IGKV1-8
6122,IGKV1-9
6123,IGKV1D-12
6124,IGKV1D-13
6125,IGKV1D-16
6126,IGKV1D-17
6127,IGKV1D-33
6128,IGKV1D-37
6129,IGKV1D-39
6130,IGKV1D-42
6131,IGKV1D-43
6132,IGKV1D-8
6133,IGKV2-24
6134,IGKV2-28
6135,IGKV2-30
6136,IGKV2-40
6137,IGKV2D-24
6138,IGKV2D-26
6139,IGKV2D-28
6140,IGKV2D-29
6141,IGKV2D-30
6142,IGKV2D-40
6143,IGKV4-1
6144,IGKV5-2
6145,IGKV6-21
6146,IGKV6D-21
6147,IGKV6D-41
6148,IGLJ1
6149,IGLV1-36
6150,IGLV1-40
6151,IGLV1-44
6152,IGLV1-47
6153,IGLV1-50
6154,IGLV1-51
6155,IGLV10-54
6156,IGLV11-55
6157,IGLV2-11
6158,IGLV2-14
6159,IGLV2-18
6160,IGLV2-23
6161,IGLV2-33
6162,IGLV2-8
6163,IGLV3-1
6164,IGLV3-10
6165,IGLV3-12
6166,IGLV3-16
6167,IGLV3-19
6168,IGLV3-21
6169,IGLV3-22
6170,IGLV3-25
6171,IGLV3-27
6172,IGLV3-32
6173,IGLV3-9
6174,IGLV4-3
6175,IGLV4-60
6176,IGLV4-69
6177,IGLV5-37
6178,IGLV5-45
6179,IGLV5-48
6180,IGLV5-52
6181,IGLV7-43
6182,IGLV7-46
6183,IGLV8-61
6184,IGLV9-49
6185,INPP5J
6186,IRAK2
6187,IRS4
6188,ITGBL1
6189,KANSL2
6190,KCNQ5
6191,KCTD3
6192,KIRREL1
6193,KMT2E
6194,KRIT1
6195,LANCL2
6196,LGSN
6197,LHFPL3
6198,LIME1
6199,LIMS1
6200,LIMS2
6201,LIPE
6202,LPXN
6203,LRRC55
6204,LRTOMT
6205,LSP1
6206,LY6G5C
6207,LY6G6F-LY6G6D
6208,LY96
6209,MAGED1
6210,MANBA
6211,MAPK1
6212,MAPK3
6213,MAPKAP1
6214,MARCKSL1
6215,MARK3
6216,MAST1
6217,MDM2
6218,MIB1
6219,MSRA
6220,MTMR1
6221,MTUS1
6222,MYD88
6223,MYO5A
6224,NAE1
6225,NKAIN4
6226,NKD1
6227,NOS2
6228,NOX1
6229,NOXA1
6230,NOXO1
6231,NPTX1
6232,NUCB2
6233,NUDT1
6234,ODF4
6235,PAK2
6236,PANX3
6237,PARD3B
6238,PARVA
6239,PARVG
6240,PCSK6
6241,PDE4B
6242,PDE6C
6243,PFKM
6244,PHKA1
6245,PHKA2
6246,PHKB
6247,PID1
6248,PIK3CA
6249,PIK3CD
6250,PIM1
6251,PIP5K1B
6252,PLA2G2F
6253,PLCH2
6254,PLEKHG5
6255,PLEKHM3
6256,PLPPR1
6257,PNN
6258,PPP1CA
6259,PPP1R7
6260,PPP2R5A
6261,PREX1
6262,PRICKLE3
6263,PRKACB
6264,PRKAR1B
6265,PRKCD
6266,PRPH
6267,PRRG2
6268,PRRG3
6269,PRSS12
6270,PTOV1
6271,PTPN2
6272,PTPRE
6273,PXDNL
6274,QRICH1
6275,RAB19
6276,RAB28
6277,RALB
6278,RANBP9
6279,RDH8
6280,RERG
6281,RGS16
6282,RGS17
6283,RGS20
6284,RHEBL1
6285,RHOBTB1
6286,RHOBTB3
6287,RHOH
6288,RIT1
6289,RNF34
6290,RPSAP58
6291,RRAS
6292,RUNDC3A
6293,S100A12
6294,S100A8
6295,SDC3
6296,SDCBP2
6297,SEMA3D
6298,SEPTIN7
6299,SERPINB12
6300,SFTPC
6301,SGIP1
6302,SH2B1
6303,SH2B2
6304,SH3BGRL
6305,SH3D19
6306,SHB
6307,SKAP2
6308,SLURP2
6309,SMAD3
6310,SMAD7
6311,SOD1
6312,SOS1
6313,SPA17
6314,SPRED1
6315,SPRY1
6316,STAU1
6317,STK17B
6318,STXBP5L
6319,SULF2
6320,SYN2
6321,TAB3
6322,TAOK3
6323,TBC1D3B
6324,TBC1D3C
6325,TDGF1P3
6326,TDP1
6327,TJAP1
6328,TLN2
6329,TMEM100
6330,TMEM127
6331,TMEM258
6332,TNK1
6333,TNS2
6334,TPTE
6335,TRAC
6336,TRADD
6337,TRAF1
6338,TRAF3
6339,TRAF4
6340,TRAJ3
6341,TRAJ31
6342,TRAJ42
6343,TRAV1-1
6344,TRAV1-2
6345,TRAV10
6346,TRAV12-1
6347,TRAV12-2
6348,TRAV12-3
6349,TRAV13-1
6350,TRAV13-2
6351,TRAV14DV4
6352,TRAV16
6353,TRAV17
6354,TRAV18
6355,TRAV19
6356,TRAV2
6357,TRAV20
6358,TRAV21
6359,TRAV22
6360,TRAV23DV6
6361,TRAV24
6362,TRAV25
6363,TRAV26-1
6364,TRAV26-2
6365,TRAV27
6366,TRAV29DV5
6367,TRAV3
6368,TRAV30
6369,TRAV34
6370,TRAV36DV7
6371,TRAV38-1
6372,TRAV38-2DV8
6373,TRAV39
6374,TRAV4
6375,TRAV40
6376,TRAV41
6377,TRAV5
6378,TRAV6
6379,TRAV7
6380,TRAV8-1
6381,TRAV8-2
6382,TRAV8-3
6383,TRAV8-4
6384,TRAV8-6
6385,TRAV9-1
6386,TRAV9-2
6387,TRBD1
6388,TRBJ1-1
6389,TRBJ1-2
6390,TRBJ1-3
6391,TRBJ1-4
6392,TRBJ1-5
6393,TRBJ1-6
6394,TRBJ2-1
6395,TRBJ2-3
6396,TRBJ2-7
6397,TRBV10-1
6398,TRBV10-2
6399,TRBV10-3
6400,TRBV11-1
6401,TRBV11-3
6402,TRBV12-3
6403,TRBV12-4
6404,TRBV12-5
6405,TRBV13
6406,TRBV14
